id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.769310377340766,-122.43385634488999,Entire home/apt,170,1,179,2019-01-11,1.54,1,65
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.745112331410034,-122.42101788836888,Entire home/apt,235,30,111,2017-08-06,0.93,1,0
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.766689597862175,-122.45250461761628,Private room,65,32,17,2016-11-21,0.15,9,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487219421756,-122.45182799146508,Private room,65,32,8,2018-09-12,0.15,9,365
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.775248585892676,-122.43637374831292,Entire home/apt,785,7,27,2018-08-11,0.24,2,90
8567,Lovely 2BR flat Great Location,25601,Sandy,,Western Addition,37.78470745496073,-122.44555431261594,Entire home/apt,255,2,31,2018-09-02,0.27,1,40
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.75918889708064,-122.42236687240562,Private room,139,1,640,2019-01-27,5.53,2,138
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76258885144137,-122.40543055237004,Private room,135,1,442,2019-01-28,3.92,1,326
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874294929672,-122.4132720164374,Entire home/apt,265,3,315,2019-01-28,2.76,1,227
10819,Spacious 3BED/2BATH Apartment in Marina District,38836,Bernat,,Marina,37.80060135801387,-122.42504538133501,Entire home/apt,218,30,22,2015-12-14,0.31,42,364
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.771873721790115,-122.43859113023433,Entire home/apt,177,30,37,2018-12-01,0.33,42,315
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77355001557393,-122.42436191545026,Entire home/apt,194,30,14,2018-08-25,0.17,42,276
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78573889680189,-122.40797710199777,Entire home/apt,139,30,19,2018-12-15,0.26,42,216
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.77018946066375,-122.44594218370484,Private room,85,32,6,2018-09-20,0.07,9,365
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76894262424544,-122.44778223886064,Private room,85,32,5,2015-10-18,0.07,9,365
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76074548179248,-122.43032405939661,Private room,79,3,387,2019-01-29,3.51,1,21
12584,"3 levels, Views, 2BR/1BA",49383,Tom,,Inner Sunset,37.762031017197216,-122.45454953525292,Entire home/apt,136,30,16,2018-11-18,0.21,2,365
14125,Gallery Residence,55475,Olivia,,Mission,37.75490669862631,-122.42245501922534,Entire home/apt,215,3,99,2019-01-17,0.90,1,287
17132,Luxury 2BR suite with waterview,43185,Hijin + David,,South of Market,37.78646668394753,-122.39071696982846,Entire home/apt,450,35,14,2016-09-29,0.14,1,263
18231,Loft-like Apt./Garden (monthly only available),70224,Arlene & Leon,,Noe Valley,37.748883709300664,-122.42982374746443,Entire home/apt,107,30,61,2018-12-31,0.58,1,185
