id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4720512,Private Room in Guest House #105,202591,Jeffrey,,Western Addition,37.773706703856696,-122.4291244760459,Private room,80,3,22,2015-11-20,1.97,5,243
1214348,Hayes Valley Gem - Center of SF!,6608684,Dan,,Western Addition,37.77346710558092,-122.42520781653413,Entire home/apt,950,1,4,2014-03-18,0.14,1,179
8193992,Lower Pacific Heights Gem,7745422,,,Western Addition,37.78592641077174,-122.44503226426156,Private room,350,2,0,,,1,64
9668595,Simple Studio in the Center of SF,49963870,Elvi,,Western Addition,37.783944456819356,-122.42164192050846,Entire home/apt,99,1,0,,,1,2
8521718,Amazing Attic Room in NOPA Duplex,30081902,Ben,,Western Addition,37.7765153524424,-122.44222705671457,Private room,175,1,1,2015-10-05,0.51,1,45
1411122,Large Apartment in Duboce Triangle,7608309,Sabeena,,Western Addition,37.77044692459841,-122.43019932247779,Entire home/apt,195,2,21,2015-12-01,0.74,1,33
6424138,"Full Floor, Light Filled Victorian",4601552,Nicholas,,Western Addition,37.77555999875951,-122.42935257207783,Entire home/apt,170,3,1,2015-09-07,0.34,1,293
4556428,Convenient Private Room + Bath,23620661,Houston,,Western Addition,37.78696520712132,-122.42659597350125,Private room,125,1,5,2015-03-30,0.43,1,0
1738415,Quaint Quiet & Spacious HV Flat!,3273603,Donna,,Western Addition,37.77358049034084,-122.42806372501764,Entire home/apt,190,1,124,2015-11-18,4.73,2,302
9635548,Private 1bed/bath in luxury apt,49831517,Sarah,,Western Addition,37.782150997755906,-122.43163774973934,Private room,80,1,0,,,1,351
461206,Spacious room in Hayes Valley apt,2033455,Paul,,Western Addition,37.774577230419766,-122.42779620956688,Private room,150,4,2,2015-08-22,0.39,2,364
9275811,Beautiful Pacific Heights Apartment,12631680,Ej,,Western Addition,37.7890298800182,-122.42969607435201,Private room,200,1,0,,,1,22
3115424,Sunny Apartment in Hayes Valley,5376811,Emily,,Western Addition,37.77900426980559,-122.42437792752939,Entire home/apt,158,4,5,2014-08-15,0.28,1,361
5375821,Large room near Alamo Square Park,2368618,Sanford,,Western Addition,37.77461475925969,-122.43440179203591,Private room,80,1,0,,,1,234
9080803,Bunkbed 6 @ SunnySide Travel House,47226057,Sunny Side,,Western Addition,37.78283828407677,-122.43764393509147,Shared room,48,2,9,2015-11-29,7.30,10,341
4098710,Beautiful Room in Stunning Home,743399,,,Western Addition,37.787080850068534,-122.44010074416626,Private room,80,4,4,2015-09-07,0.28,1,333
985813,Modern Bright Hayes,2732487,Bobby,,Western Addition,37.77480266915239,-122.42516668783408,Entire home/apt,297,4,6,2014-10-16,0.19,1,360
4164567,Renovated Victorian on Haight!,8342646,Katie,,Western Addition,37.771503315408076,-122.43326930422525,Entire home/apt,399,2,10,2015-11-28,0.70,1,339
7900944,Modern Loft near Alamo Square Park,9033653,Dan,,Western Addition,37.780090859871216,-122.43732628806745,Private room,175,1,7,2015-11-08,1.96,1,175
9563441,Studio Apartment,33398359,Marie,,Western Addition,37.78092248297199,-122.43216453533499,Entire home/apt,100,1,0,,,1,16
6197038,Sophisticated flat in hip NoPA,2070341,Lauren,,Western Addition,37.77812520070774,-122.44540644556301,Entire home/apt,169,2,1,2015-05-19,0.15,1,192
3772241,Modern Retreat in Hayes Valley,2479128,Valerie,,Western Addition,37.776280519101,-122.42474940401611,Entire home/apt,595,2,5,2015-01-03,0.32,5,296
9315067,Comfy Centrally Located Room in SF,48349241,Baltazar,,Western Addition,37.780377196725205,-122.43207938039156,Private room,80,1,0,,,1,11
7329845,Little room BIG heart :),37842000,Sophia,,Western Addition,37.785848942019015,-122.44034205763788,Private room,85,1,6,2015-09-21,1.73,6,199
4773949,Lower Pacific Heights //sleeps  2-3,24621125,,,Western Addition,37.786112441942,-122.43704301446549,Entire home/apt,250,2,6,2015-10-12,0.56,1,351
9426477,Lovely 2 bedroom in Lower Haight,10283784,Noah,,Western Addition,37.770254947175744,-122.42925217461648,Entire home/apt,199,2,0,,,1,361
4347535,Great apartment in Lower Haight,3344775,Thomas,,Western Addition,37.770644167491284,-122.43645212852987,Shared room,400,1,0,,,1,365
546463,"Comfy, Spacious, Modern, & Sunny",2496223,,,Western Addition,37.77937474247978,-122.44256943541184,Private room,131,1,40,2015-11-25,0.99,1,354
6903562,Alamo Square/Fillmore Distr. 1br!,36180518,Jordan,,Western Addition,37.780870320444784,-122.43260046758066,Entire home/apt,175,1,2,2015-08-18,0.38,1,140
808660,Private 1BR Apt. in Heart of SF!,1607501,David,,Western Addition,37.784603352590594,-122.44388681702557,Entire home/apt,117,2,122,2015-11-18,3.49,1,273
7329545,Spacious Room with Garden View!,37842000,Sophia,,Western Addition,37.78671490364792,-122.43835445270697,Private room,115,1,16,2015-11-19,4.57,6,333
6412139,Charming Victorian by Alamo Square!,13466475,Laura,,Western Addition,37.77915527317286,-122.43799828294732,Entire home/apt,174,1,0,,,1,175
8294139,"Large, sunny 1-bed apt Alamo Square",17557282,Brent,,Western Addition,37.77324784017861,-122.43703316938418,Entire home/apt,249,3,3,2015-11-02,1.34,1,58
8739306,spacious bright Soho style condo,39176723,Sandip,,Western Addition,37.78669486200521,-122.42256728668339,Private room,125,1,3,2015-11-20,2.57,1,89
1696383,"Alamo Sq Inn, Studio - In Law Unit",8958907,Judy,,Western Addition,37.77669073077381,-122.4366084280861,Entire home/apt,145,1,75,2015-11-17,2.89,3,365
4053544,Modern Suite with Private Bathroom,1040137,Safeer,,Western Addition,37.772329293077064,-122.4237329172768,Private room,120,2,11,2015-11-19,3.59,1,16
5364782,Charming room in Pacific Heights ,2675850,Heidi,,Western Addition,37.78887768834533,-122.42854640848141,Private room,95,1,0,,,1,263
2022513,Lovely 1BR apt next to Alamo Square,592439,Christophe,,Western Addition,37.77844103693482,-122.43502094858128,Entire home/apt,125,2,4,2014-02-01,0.17,1,0
9198181,Private room/bath in center of SF,631836,Chris,,Western Addition,37.77243111185799,-122.42393039426787,Private room,120,1,0,,,1,3
8673992,Great moment in Nopa,31833123,Cha,,Western Addition,37.777197938634345,-122.4367380141985,Entire home/apt,210,1,0,,,2,315
